name,ring,quadrant,isNew,description
Java,1,Adopt,TRUE,Основной язык программирования для разработки приложений.
React,1,Adopt,TRUE,Библиотека для создания пользовательских интерфейсов.
Keycloak,1,Adopt,TRUE,Решение для управления идентификацией и доступом.
Redis,1,Adopt,TRUE,Система управления базами данных в памяти.
PostgreSQL,1,Adopt,TRUE,Объектно-реляционная система управления базами данных.
Grafana,1,Adopt,TRUE,Платформа для мониторинга и визуализации данных.
Prometheus,1,Adopt,TRUE,Система мониторинга и оповещения.
MinIO,2,Trial,FALSE,Объектное хранилище, совместимое с Amazon S3.
Nessie,2,Trial,FALSE,Система управления версиями для данных.
Dremio,2,Trial,FALSE,Платформа для самообслуживания аналитики.
Apache Airflow,3,Assess,FALSE,Платформа для программного создания, планирования и мониторинга рабочих процессов.
Microsoft SQL Server 2008,4,Hold,FALSE,Устаревшая версия системы управления базами данных.
Power Builder,4,Hold,FALSE,Инструмент для разработки приложений с графическим интерфейсом.
Apache Camel,4,Hold,FALSE,Интеграционный фреймворк для построения маршрутов обработки сообщений.
